Land;Stadt;Kategorie;Jahr;Merkmal;Anzahl;m;w
de-sh;Kiel;Bevoelkerung;1988;Geburt;2492;1273;1219
de-sh;Kiel;Bevoelkerung;1989;Geburt;2605;1337;1268
de-sh;Kiel;Bevoelkerung;1990;Geburt;2746;1392;1354
de-sh;Kiel;Bevoelkerung;1991;Geburt;2808;1433;1375
de-sh;Kiel;Bevoelkerung;1992;Geburt;2818;1463;1355
de-sh;Kiel;Bevoelkerung;1993;Geburt;2648;1366;1282
de-sh;Kiel;Bevoelkerung;1994;Geburt;2527;1337;1190
de-sh;Kiel;Bevoelkerung;1995;Geburt;2405;1267;1138
de-sh;Kiel;Bevoelkerung;1996;Geburt;2497;1246;1251
de-sh;Kiel;Bevoelkerung;1997;Geburt;2372;1231;1141
de-sh;Kiel;Bevoelkerung;1998;Geburt;2299;1191;1108
de-sh;Kiel;Bevoelkerung;1999;Geburt;2243;1146;1097
de-sh;Kiel;Bevoelkerung;2000;Geburt;2288;1169;1119
de-sh;Kiel;Bevoelkerung;2001;Geburt;2118;1103;1015
de-sh;Kiel;Bevoelkerung;2002;Geburt;2224;1181;1043
de-sh;Kiel;Bevoelkerung;2003;Geburt;1999;1082;917
de-sh;Kiel;Bevoelkerung;2004;Geburt;2039;1069;970
de-sh;Kiel;Bevoelkerung;2005;Geburt;2097;1081;1016
de-sh;Kiel;Bevoelkerung;2006;Geburt;2124;1099;1025
de-sh;Kiel;Bevoelkerung;2007;Geburt;2093;1074;1019
de-sh;Kiel;Bevoelkerung;2008;Geburt;2186;1106;1080
de-sh;Kiel;Bevoelkerung;2009;Geburt;2168;1134;1034
de-sh;Kiel;Bevoelkerung;2010;Geburt;2227;1117;1110
de-sh;Kiel;Bevoelkerung;2011;Geburt;2180;1134;1046
de-sh;Kiel;Bevoelkerung;2012;Geburt;2104;1093;1011
de-sh;Kiel;Bevoelkerung;2013;Geburt;2160;1069;1091
de-sh;Kiel;Bevoelkerung;2014;Geburt;2405;1219;1186
de-sh;Kiel;Bevoelkerung;2015;Geburt;2504;1269;1235
de-sh;Kiel;Bevoelkerung;2016;Geburt;2547;1325;1222
de-sh;Kiel;Bevoelkerung;2017;Geburt;2575;1298;1277
de-sh;Kiel;Bevoelkerung;2018;Geburt;2461;1237;1224
de-sh;Kiel;Bevoelkerung;2019;Geburt;2493;1283;1210
de-sh;Kiel;Bevoelkerung;2020;Geburt;2392;1175;1217
de-sh;Kiel;Bevoelkerung;2021;Geburt;2328;1194;1134
de-sh;Kiel;Bevoelkerung;2022;Geburt;2328;1163;1165